CompanyName,Logo,Location,Description,Batch,Industry,SubIndustry
Giga ML,https://bookface-images.s3.amazonaws.com/small_logos/e8078b1a0f42099cef5ed677185de3100fe9ac4c.png,"San Francisco, CA, USA",We Supercharge open-source LLMs to outperform GPT-4 for your use-case.,S23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
Sero AI,https://bookface-images.s3.amazonaws.com/small_logos/5227f359f4de57153235fb56382352d4b848a909.png,"San Jose, CA, USA",AI powered Trust and Safety operations platform for Enterprises,S23,B2B SOFTWARE AND SERVICES,
Affinity,https://bookface-images.s3.amazonaws.com/small_logos/883b7bc8ea92895dbca7a59f5ad014c489f3729a.png,"Remote; New York, NY, USA",A compliance training platform built for regulated industries.,S23,B2B SOFTWARE AND SERVICES,
FlowiseAI,https://bookface-images.s3.amazonaws.com/small_logos/a6c1c9b6e16de0c6a1de55b81d8dbf0fbf3f3ad1.png,"Remote; San Francisco, CA, USA; Dublin, County Dublin, Ireland",Open source UI visual tool to build LLM apps,S23,B2B SOFTWARE AND SERVICES,
Shadeform,https://bookface-images.s3.amazonaws.com/small_logos/7a846e62f95a076c15722c84a203afd1fccb34a5.png,"San Francisco, CA, USA",Unified Multi-Cloud GPU Infra - Solving for GPU Shortage,S23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
Cargo,https://bookface-images.s3.amazonaws.com/small_logos/60fdb246167ec39d5f5cdf91bcde30b37a243707.png,"San Francisco, CA, USA; Paris, Île-de-France, France; Remote",Headless revenue architecture,S23,B2B SOFTWARE AND SERVICES,SALES
Roame,https://bookface-images.s3.amazonaws.com/small_logos/7f2575793e5340c7b238109e6ddb277c072e9469.png,"San Francisco, CA, USA",Google flights using points and miles,S23,B2B SOFTWARE AND SERVICES,
dili,https://bookface-images.s3.amazonaws.com/small_logos/3fce5b34ec4e9d7dac0b1a3017ebf5fa934294c7.png,"Remote; New York, NY, USA",Accelerate capital markets due diligence with AI,S23,B2B SOFTWARE AND SERVICES,FINANCE AND ACCOUNTING
Trayd,https://bookface-images.s3.amazonaws.com/small_logos/b0a9f2865966789c4edf9a5fb78aced71bf8c4d9.png,Remote,A construction payroll platform designed for same-day pay.,S23,B2B SOFTWARE AND SERVICES,FINANCE AND ACCOUNTING
Line.Build,https://bookface-images.s3.amazonaws.com/small_logos/bbb7409bf926a08146ddde7971bd40c387b62a4f.png,"Remote; San Francisco, CA, USA; Seattle, WA, USA",Enabling affordable building decarbonization,S23,B2B SOFTWARE AND SERVICES,
Retake,https://bookface-images.s3.amazonaws.com/small_logos/0703662b682a3263b77d7f7a5553b96404c80d31.png,"New York, NY, USA; Remote",Open source infrastructure for vector data streams,S23,B2B SOFTWARE AND SERVICES,
Eden Care,https://bookface-images.s3.amazonaws.com/small_logos/809f689043b55a17806551f8ae0b43ebd1950ef1.png,"Nairobi, Nairobi County, Kenya; Kigali, Kigali City, Rwanda; Remote",Eden Care Healthcare Rwanda Limited,S23,FINANCIAL TECHNOLOGY,INSURANCE
Quill AI,https://bookface-images.s3.amazonaws.com/small_logos/8e7762092d8acb956495f524447c38dcb3271f81.png,"New York, NY, USA",Automation Software for Financial Analysts,S23,B2B SOFTWARE AND SERVICES,FINANCE AND ACCOUNTING
Smobi,https://bookface-images.s3.amazonaws.com/small_logos/c0d2a48d885a7f5a51a9f3b4a3c5034f335e5645.png,"New York, NY, USA; Remote",Zillow for SMB Sales,S23,CONSUMER,
Tiptap,https://bookface-images.s3.amazonaws.com/small_logos/45a420bd235fd41d8ee714d37c421a5f053f3657.png,"Berlin, Berlin, Germany; Remote",Developer toolkit for building collaborative apps.,S23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
Fiber AI,https://bookface-images.s3.amazonaws.com/small_logos/e7118ffc006ccecf44fec5c8d5c5268024216181.png,"San Francisco, CA, USA; Remote",We automate prospecting & outbound marketing for startups.,S23,B2B SOFTWARE AND SERVICES,
Monitaur,https://bookface-images.s3.amazonaws.com/small_logos/1a181faead4f7cb5ac4fbd19b045dc1d70c092db.png,"Remote; San Francisco, CA, USA; Las Vegas, NV, USA",Datadog for Web3,S23,B2B SOFTWARE AND SERVICES,INFRASTRUCTURE
Cedalio,https://bookface-images.s3.amazonaws.com/small_logos/5dec34878ef845b910a37077f5a69e6985be8453.png,"San Francisco, CA, USA; Remote",A decentralized alternative to Firebase or Supabase with a GraphQL…,S23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
Happyrobot,https://bookface-images.s3.amazonaws.com/small_logos/6705cdf5afc5810edab17d877c9eceb3cdc222cd.png,"San Francisco, CA, USA; Remote",Build computer vision applications faster,S23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
Pure 🪙,https://bookface-images.s3.amazonaws.com/small_logos/b3bb59ff1128766ef430cc6f942ac40af9c43264.png,"Berkeley, CA, USA",Marketplace for Rare Coins & Precious Metals,S23,CONSUMER,
Nanograb,https://bookface-images.s3.amazonaws.com/small_logos/3af7e37b601f838987b93fc518f5b9ac0763dea5.png,"Remote; London, England, United Kingdom",Multivalent nanomedicines with next-generation targeting capabilities,S23,HEALTHCARE,DRUG DISCOVERY AND DELIVERY
Movley,https://bookface-images.s3.amazonaws.com/small_logos/d2625ec15b7662b88963c5423d03ea8514841ce7.png,"San Francisco, CA, USA; Los Angeles, CA, USA; New York, NY, USA; Salt Lake City, UT, USA; Remote",Quality Control Platform for Marketplace Sellers,S23,B2B SOFTWARE AND SERVICES,SUPPLY CHAIN AND LOGISTICS
Santé,https://bookface-images.s3.amazonaws.com/small_logos/15a2b4571e1045f35c0ba2461c33ab3553502aba.png,"New York, NY, USA; Remote",Modern POS for Liquor Stores,S23,B2B SOFTWARE AND SERVICES,RETAIL
Inventive AI,https://bookface-images.s3.amazonaws.com/small_logos/e2f3e236b6e3d011d1321fa8bad90d390a4822ff.png,"Mountain View, CA, USA",Enterprise-ready AI agents to automate content creation,S23,B2B SOFTWARE AND SERVICES,
Cyclone,https://bookface-images.s3.amazonaws.com/small_logos/696ef7c765b24345b18c61eaa934aca5ebe64d82.png,"San Francisco, CA, USA; New York, NY, USA; Palo Alto, CA, USA","Instant coding playground for any doc site, powered by GPT",S23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
Fragment,https://bookface-images.s3.amazonaws.com/small_logos/be4e9bd7f63558bd6260af17bced35208154f2af.png,"San Francisco, CA, USA; Paris, Île-de-France, France",Task management for fintech and insurtech,S23,B2B SOFTWARE AND SERVICES,OPERATIONS
sudocode,https://bookface-images.s3.amazonaws.com/small_logos/ef63e061644f1c078acf080390ecfeb83f75521b.png,"Remote; Mountain View, CA, USA; New York, NY, USA; Boston, MA, USA",Markdown is all you need,S23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
Sweep,https://bookface-images.s3.amazonaws.com/small_logos/885d2be670d352a8d396403e926005fd75ce210b.png,"San Francisco, CA, USA",AI-powered junior dev,S23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
Andromeda Surgical,https://bookface-images.s3.amazonaws.com/small_logos/ad29152e507992c17de56b3d0a62d1fd6769fd3b.png,"San Francisco, CA, USA","Autonomous robots for safer, better, faster surgery",S23,HEALTHCARE,MEDICAL DEVICES
ProdTrace,https://bookface-images.s3.amazonaws.com/small_logos/9a9cd04ce92072dbc8e58cc9a049fc742fd77575.png,"San Francisco, CA, USA",AI driven BOM and supplier management for hardware companies,S23,B2B SOFTWARE AND SERVICES,SUPPLY CHAIN AND LOGISTICS
Roundtable,https://bookface-images.s3.amazonaws.com/small_logos/e75b3701367f92118dfb24055cc3333d139fe333.png,"Princeton, NJ, USA","Faster, cheaper, better surveys",S23,B2B SOFTWARE AND SERVICES,MARKETING
SafetyKit,https://bookface-images.s3.amazonaws.com/small_logos/c9e75c5434d4db65b7f3f6434cf59d0341971429.png,"San Francisco, CA, USA",AI-Powered Trust and Safety Automation,S23,B2B SOFTWARE AND SERVICES,
Inlet,https://bookface-images.s3.amazonaws.com/small_logos/25e62f89ae4f3fef57571a6c9170c93f95eb4d80.png,"New York, NY, USA; San Diego, CA, USA",Integrate software with AI.,S23,B2B SOFTWARE AND SERVICES,OPERATIONS
Converge,https://bookface-images.s3.amazonaws.com/small_logos/6ddaa5bebf2aae550b90599e16a46dc1f877c755.png,"San Francisco, CA, USA; London, England, United Kingdom",Segment for Ecommerce,S23,B2B SOFTWARE AND SERVICES,
Flint,https://bookface-images.s3.amazonaws.com/small_logos/3ae7ccbcf0f08279561c5897abc3d64c3bf525b1.png,"San Francisco, CA, USA",Copilot for K-12 teachers,S23,EDUCATION,
Osium AI,https://bookface-images.s3.amazonaws.com/small_logos/17409239d13cf1106205231c915b030f64bc868e.png,"San Francisco, CA, USA; Paris, Île-de-France, France",AI for advanced and sustainable materials discovery,S23,B2B SOFTWARE AND SERVICES,
Slicker,https://bookface-images.s3.amazonaws.com/small_logos/8a6d3f0c8afa88cbacfb092cfdf786243c3f8519.png,"London, England, United Kingdom",Gusto for Europe,S23,B2B SOFTWARE AND SERVICES,HUMAN RESOURCES
Khoj,https://bookface-images.s3.amazonaws.com/small_logos/bd6227d42ac8c50f126c05afb2c2cf0bc82af194.png,"Remote; San Francisco, CA, USA; Bengaluru, KA, India",A Personal AI Assistant for your Digital Brain,S23,CONSUMER,
VaultPay,https://bookface-images.s3.amazonaws.com/small_logos/a57948d960506de4d2db61aa15be3edc4b84ada1.png,"San Francisco, CA, USA; Montreal, QC, Canada; Kinshasa, Kinshasa, Democratic Republic of the Congo; Remote",Building payments infrastructure for Central Africa,S23,FINANCIAL TECHNOLOGY,PAYMENTS
Kobalt Labs,https://bookface-images.s3.amazonaws.com/small_logos/1c0b0e768a324b2566a3f866bf380445d3ae2fb8.png,"New York, NY, USA",Modern security for generative AI.,S23,B2B SOFTWARE AND SERVICES,SECURITY
Studdy,https://bookface-images.s3.amazonaws.com/small_logos/a16c929347afb77c55ddc7cd4bab0d6fb8149f3a.png,"San Francisco, CA, USA; Remote",An AI Tutor for every student,S23,EDUCATION,
Trainy,https://bookface-images.s3.amazonaws.com/small_logos/78fb6a9f034f5447cc3472b66f6c660fdf0cfa60.png,"Remote; San Francisco, CA, USA",Profiler tooling to make training large AI models fast and easy.,S23,B2B SOFTWARE AND SERVICES,
MantleBio,https://bookface-images.s3.amazonaws.com/small_logos/cb75b12b16750784275c8ea7ad4a4d0237f71745.png,"San Francisco, CA, USA",Building software to scale data driven discovery in biotech,S23,B2B SOFTWARE AND SERVICES,
Pincites,https://bookface-images.s3.amazonaws.com/small_logos/e0a62b94c111461d57a98e1da81fd47da32c7c25.png,"Remote; San Francisco, CA, USA",Close deals faster with AI for contract negotiation,S23,B2B SOFTWARE AND SERVICES,LEGAL
Continue,https://bookface-images.s3.amazonaws.com/small_logos/e55631b8e964862f036f5e8b748c893164f28842.png,"San Francisco, CA, USA",The open-source coding autopilot,S23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
Letter AI,https://bookface-images.s3.amazonaws.com/small_logos/a8d497510be63ccd78df6a11e18295c21c40e20a.png,"Chicago, IL, USA; Remote",AI-powered sales enablement delivered 10X faster,S23,B2B SOFTWARE AND SERVICES,PRODUCTIVITY
Guac,https://bookface-images.s3.amazonaws.com/small_logos/3ffff2e450f7c22939b75b50d62a49acbce05716.png,"San Francisco, CA, USA; London, England, United Kingdom",AI-powered demand forecasting for grocery,S23,B2B SOFTWARE AND SERVICES,SUPPLY CHAIN AND LOGISTICS
Casehopper,https://bookface-images.s3.amazonaws.com/small_logos/cf05605da9e529d148b5a21d87226813a773e861.png,Remote,AI-assisted legal drafting,S23,B2B SOFTWARE AND SERVICES,LEGAL
Glade,https://bookface-images.s3.amazonaws.com/small_logos/d61eaca1a50afe1efe941ab9f498f5d9f89a17ba.png,"San Francisco, CA, USA; Remote",Next generation business planning software,S23,B2B SOFTWARE AND SERVICES,
Empirical Health,https://bookface-images.s3.amazonaws.com/small_logos/54bac3a1e104fd1f347ee5712e9e585abe5b97a8.png,"New York, NY, USA; Boston, MA, USA; Remote",Proactive primary care that scales using AI,S23,HEALTHCARE,HEALTHCARE SERVICES
Aglide,https://bookface-images.s3.amazonaws.com/small_logos/565f88a7f2dd910b7d4ebc3e451166ea36ad3411.png,"London, England, United Kingdom","Control your team's SaaS accounts, access, & bills.",S23,B2B SOFTWARE AND SERVICES,
Respaid,https://bookface-images.s3.amazonaws.com/small_logos/2e55c6a8bc3e47aeeb004bd0bae4f37b2dfa4797.png,"San Francisco, CA, USA; Paris, Île-de-France, France; Remote",Respaid collects 9x more overdue bills with respectful AI 💰,S23,FINANCIAL TECHNOLOGY,
Haven,https://bookface-images.s3.amazonaws.com/small_logos/2ddfeef89e926ea2a03216ef545a3af9c7dd44c1.png,"San Francisco, CA, USA; Berlin, Berlin, Germany",Fine-Tune and Deploy LLMs on Your Own Infrastructure,S23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
Greenlite,https://bookface-images.s3.amazonaws.com/small_logos/ebf772559a88666519eb1b6ea727c4b76dfef998.png,Remote,An AI compliance team for every fintech,S23,FINANCIAL TECHNOLOGY,
Metalware,https://bookface-images.s3.amazonaws.com/small_logos/f9039b6889d38ff33594f7b75b315efc60caae9d.png,"San Francisco, CA, USA",Copilot for firmware,S23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
RightPage,https://bookface-images.s3.amazonaws.com/small_logos/9ab6ca760c8fdacfbed6f3544cf200c4bc6a61d4.png,"San Francisco, CA, USA; Boston, MA, USA; Remote",Context-aware automations to give your support agents superpowers,S23,B2B SOFTWARE AND SERVICES,OPERATIONS
Unhaze,https://bookface-images.s3.amazonaws.com/small_logos/7f3b295b0f1bf37f84fab8ca0eb4083a223649ba.png,"Copenhagen, Denmark; Remote",Predictive lead gen for B2B Sales,S23,B2B SOFTWARE AND SERVICES,SALES
CandorIQ,https://bookface-images.s3.amazonaws.com/small_logos/99094827db793d0b0566e8f598e87a87eb795ade.png,"San Francisco, CA, USA; Remote",Headcount & Compensation Management,S23,B2B SOFTWARE AND SERVICES,
refine,https://bookface-images.s3.amazonaws.com/small_logos/64aea08251a64440cebbbb5f8bd7a50c69337034.png,"Remote; San Francisco, CA, USA; Istanbul, Istanbul, Turkey",Open-source platform for building enterprise web applications,S23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
Sidenote,https://bookface-images.s3.amazonaws.com/small_logos/949b8814325dbb3fbd3160ffb4215cc58351724a.png,"San Francisco, CA, USA; Stanford, CA, USA","Meeting follow-up, automated",S23,B2B SOFTWARE AND SERVICES,PRODUCTIVITY
Epsilla,https://bookface-images.s3.amazonaws.com/small_logos/a2a1e40bf12e61df1ea8d4d6a4f8b7691ac3982f.png,"Remote; Jersey City, NJ, USA","Scalable, high performance, cost-effective vectordb",S23,B2B SOFTWARE AND SERVICES,INFRASTRUCTURE
Neum AI,https://bookface-images.s3.amazonaws.com/small_logos/5e2e0ac9bda9f27ac237b64e189d3eaee098f88a.png,"Seattle, WA, USA",ETL pipeline for your LLM data,S23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
Wyvern AI,https://bookface-images.s3.amazonaws.com/small_logos/870ff266be76df0ef865c5d8f621da8b90488763.png,"Remote; San Francisco, CA, USA",Machine learning platform for marketplaces,S23,B2B SOFTWARE AND SERVICES,INFRASTRUCTURE
Cardinal Gray,https://bookface-images.s3.amazonaws.com/small_logos/dd23108e8186366e29a1827c228ceddd75097d20.png,"San Francisco, CA, USA",CG helps auto lenders instantly process title transactions with DMVs,S23,FINANCIAL TECHNOLOGY,CREDIT AND LENDING
Anneal,https://bookface-images.s3.amazonaws.com/small_logos/c48e28121e52ed67e2c78dbe9f5b2861b3a47bbd.png,"San Francisco, CA, USA",TikTok for Generative AI,S23,CONSUMER,SOCIAL
Health Harbor,https://bookface-images.s3.amazonaws.com/small_logos/707952491ce6520207a9fc042912ea6190fc34a5.png,"San Francisco, CA, USA",Automated billing for private practices.,S23,HEALTHCARE,HEALTHCARE IT
Ergomake,https://bookface-images.s3.amazonaws.com/small_logos/e878e1f25a528b8c16088504ab3cdfb4cbbbf461.png,"Remote; São Paulo, SP, Brazil",On-demand staging environments.,S23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
Outset,https://bookface-images.s3.amazonaws.com/small_logos/b9884cde2f06e46373b20cec776477bb5ff0f4c1.png,"San Francisco, CA, USA; Remote",AI-powered user research,S23,B2B SOFTWARE AND SERVICES,ANALYTICS
Serra,https://bookface-images.s3.amazonaws.com/small_logos/de1a90717852abf9734482354e7229c962c19089.png,"San Francisco, CA, USA",Python-based DBT alternative,S23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
Corgea,https://bookface-images.s3.amazonaws.com/small_logos/4f659e1a5051b790e28f097f1c858880dc797b7f.png,"San Francisco, CA, USA; San Mateo, CA, USA",Helping Enterprises automate product and privacy compliance,S23,B2B SOFTWARE AND SERVICES,SECURITY
Terminal,https://bookface-images.s3.amazonaws.com/small_logos/5ec281190204868fa46a6cbb1aa8c12127eab799.png,"Toronto, ON, Canada; Remote",Plaid for Fleet Telematics,S23,B2B SOFTWARE AND SERVICES,SUPPLY CHAIN AND LOGISTICS
MICSI,https://bookface-images.s3.amazonaws.com/small_logos/29d35560d45b90c5227b12877556942576e43627.png,"New York, NY, USA",Higher resolution MRI with faster scan times.,S23,HEALTHCARE,DIAGNOSTICS
Martola,https://bookface-images.s3.amazonaws.com/small_logos/ad50c500b0a82f539ebea02b73227410419f4419.png,"Remote; San Francisco, CA, USA",Retailers Save Time and Money on Procurement with Martola,S23,B2B SOFTWARE AND SERVICES,RETAIL
Arcimus,https://bookface-images.s3.amazonaws.com/small_logos/be4f61fa36a16f4fa25a00812fb9bcbf1e4d8e4e.png,"San Francisco, CA, USA","Create, share, and get insights on meeting notes effortlessly",S23,B2B SOFTWARE AND SERVICES,
Docsum,https://bookface-images.s3.amazonaws.com/small_logos/aa285d8867248995d9e512d56693b98b5a544086.png,"Remote; San Francisco, CA, USA",AI contract reviewer for sales teams,S23,B2B SOFTWARE AND SERVICES,LEGAL
Bronco AI,https://bookface-images.s3.amazonaws.com/small_logos/19379c9c0118bc3c547325ee1d68a2a9d392467a.png,"San Francisco, CA, USA",Palantir for the Little Guy,S23,B2B SOFTWARE AND SERVICES,OPERATIONS
Agentive,https://bookface-images.s3.amazonaws.com/small_logos/e66a31c5e5ec003ed77a99b84c610bf690f884fd.png,"San Francisco, CA, USA; Palo Alto, CA, USA",AI-powered copilot for auditors,S23,B2B SOFTWARE AND SERVICES,FINANCE AND ACCOUNTING
order.link,https://bookface-images.s3.amazonaws.com/small_logos/86eddd013da3b647a49a97727c95b938c4e07d0a.png,"Munich, BY, Germany; Remote",Respond to order requests in minutes,S23,B2B SOFTWARE AND SERVICES,SALES
Parea,https://bookface-images.s3.amazonaws.com/small_logos/32972e7b6074f606373a477c496dcde4a5e81219.png,"San Francisco, CA, USA; New York, NY, USA",DataDog for LLM applications,S23,B2B SOFTWARE AND SERVICES,OPERATIONS
SID,https://bookface-images.s3.amazonaws.com/small_logos/e3e1c9f5dca32667c4799cf9a50d79671e13a3f7.png,"San Francisco, CA, USA; Zürich, ZH, Switzerland",Connect customer's data to AI apps in an afternoon,S23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
Cerelyze,https://bookface-images.s3.amazonaws.com/small_logos/1d9a6baac9041e73a458c98bf7520536e0d026a0.png,"New York, NY, USA",Tool for engineers to implement research papers 100x faster,S23,B2B SOFTWARE AND SERVICES,PRODUCTIVITY
Spine AI,,"San Francisco, CA, USA; Toronto, ON, Canada",Simplify the building of AI copilots for enterprise products,S23,B2B SOFTWARE AND SERVICES,
Subsets,https://bookface-images.s3.amazonaws.com/small_logos/4aeb978e655fc4f0c7cd922ceb2a80e8a7f234e5.png,"Copenhagen, Denmark",The AI retention co-pilot for subscription businesses.,S23,B2B SOFTWARE AND SERVICES,ANALYTICS
Poozle,https://bookface-images.s3.amazonaws.com/small_logos/b6315acc6ce18463e57a9f9e6d382e6a0c387c15.png,"San Francisco, CA, USA; Bengaluru, KA, India",An open source Plaid for Ticketing SAAS tools,S23,B2B SOFTWARE AND SERVICES,PRODUCTIVITY
Revamp,https://bookface-images.s3.amazonaws.com/small_logos/01975709187fe49604abc19a3af0b9ea9b99399e.png,"San Francisco, CA, USA",Smarter Customer Segmentation for eCommerce,S23,B2B SOFTWARE AND SERVICES,ANALYTICS
Airgoods,https://bookface-images.s3.amazonaws.com/small_logos/d261d8dfa76354809d8e5792b2d21ef5d258f8d5.png,"New York, NY, USA",Faire for specialty food stores,S23,B2B SOFTWARE AND SERVICES,RETAIL
Talc,https://bookface-images.s3.amazonaws.com/small_logos/6ea63f0b8a6e6c46d0d95d4f9bf72b5e5caea28c.png,"San Francisco, CA, USA; Seattle, WA, USA",LLM Debugger,S23,B2B SOFTWARE AND SERVICES,"ENGINEERING, PRODUCT AND DESIGN"
Solve Intelligence,https://bookface-images.s3.amazonaws.com/small_logos/0e4b6f7ee692fc9a70c4f55aad6c13ec6dc9de6c.png,"San Francisco, CA, USA; London, England, United Kingdom",Write high-quality patents quickly with AI.,S23,B2B SOFTWARE AND SERVICES,LEGAL
Craftwork,https://bookface-images.s3.amazonaws.com/small_logos/a808b8722de9d2ecbb9fc19cae6ba864f6358f23.png,"Charlotte, NC, USA; Remote",We're a modern home painting company.,S23,REAL ESTATE AND CONSTRUCTION,CONSTRUCTION
Helios Climate Industries,https://bookface-images.s3.amazonaws.com/small_logos/3ce080923f4b061e67452c6f03ac7bb7228b31ff.png,"San Francisco, CA, USA",Affordable efficient heat pumps,S23,REAL ESTATE AND CONSTRUCTION,CONSTRUCTION
"Every, Inc.",https://bookface-images.s3.amazonaws.com/small_logos/3015f73175878c54eab97f6a814f0a9d9b0023f8.png,"Remote; San Francisco, CA, USA",Banking + Payroll + Bookkeeping + Tax in one place,S23,B2B SOFTWARE AND SERVICES,
Contour,https://bookface-images.s3.amazonaws.com/small_logos/56ed640bd87fd8aba579200d0ab282e4ebd46130.png,"San Francisco, CA, USA",Generate and execute E2E tests with simple natural language prompts,S23,B2B SOFTWARE AND SERVICES,
atla,https://bookface-images.s3.amazonaws.com/small_logos/cacd6f9ce731572ad073dbcbb139c5cb845e3d50.png,"London, England, United Kingdom",Building honest AI assistant for legal teams,S23,B2B SOFTWARE AND SERVICES,LEGAL
Humanlike,https://bookface-images.s3.amazonaws.com/small_logos/3a7e2a6154eeadae6aee7c05a6445468b731f4f0.png,"San Francisco, CA, USA",Replace your call center with voice bots that sound human,S23,B2B SOFTWARE AND SERVICES,OPERATIONS
Wayfind,https://bookface-images.s3.amazonaws.com/small_logos/bf1dbef4dd075030f916ff2fd23326a276b4b03a.png,"San Francisco, CA, USA; New York, NY, USA",Your personal AI travel agent,S23,CONSUMER,"TRAVEL, LEISURE AND TOURISM"
Cedana,https://bookface-images.s3.amazonaws.com/small_logos/0b7a7a8af1b3c02f16a5584ed3d7012fa86e5530.png,"Remote; San Francisco, CA, USA; New York, NY, USA",Pause/migrate/resume for compute,S23,B2B SOFTWARE AND SERVICES,INFRASTRUCTURE
